#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
OO|HYS12||EHE|44.573195|-125.143917|-788.0|0.0|125.0|0.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|8.21929E8|5.0|m/s|200.0|2014-09-01T15:17:00.0000|
OO|HYS12||EHN|44.573195|-125.143917|-788.0|0.0|35.0|0.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|8.28198E8|5.0|m/s|200.0|2014-09-01T15:17:00.0000|
OO|HYS12||EHZ|44.573195|-125.143917|-788.0|0.0|0.0|-90.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|8.30287E8|5.0|m/s|200.0|2014-09-01T15:17:00.0000|
OO|HYS12||LHE|44.573195|-125.143917|-788.0|0.0|125.0|0.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|1994550.0|0.05|m/s|1.0|2014-09-01T15:17:00.0000|
OO|HYS12||LHN|44.573195|-125.143917|-788.0|0.0|35.0|0.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|2009760.0|0.05|m/s|1.0|2014-09-01T15:17:00.0000|
OO|HYS12||LHZ|44.573195|-125.143917|-788.0|0.0|0.0|-90.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|2014830.0|0.05|m/s|1.0|2014-09-01T15:17:00.0000|
OO|HYS12||MHE|44.573195|-125.143917|-788.0|0.0|125.0|0.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|7.94617E8|2.5|m/s|8.0|2014-09-01T15:17:00.0000|
OO|HYS12||MHN|44.573195|-125.143917|-788.0|0.0|35.0|0.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|8.00678E8|2.5|m/s|8.0|2014-09-01T15:17:00.0000|
OO|HYS12||MHZ|44.573195|-125.143917|-788.0|0.0|0.0|-90.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|8.02698E8|2.5|m/s|8.0|2014-09-01T15:17:00.0000|
OO|HYS12||SHE|44.573195|-125.143917|-788.0|0.0|125.0|0.0|CMG-6TF, 1s-100Hz, 2400 V/m/s-DM-24 Mk3 Variable G|8.21931E8|5.0|m/s|40.0|2014-09-01T15:17:00.0000|
